trend5,up_radio,count
43512,0.560747664,60
43521,0.538834951,222
14532,0.497695853,108
34521,0.486531987,289
42351,0.484210526,46
24531,0.470108696,173
53412,0.447916667,86
34152,0.434782609,10
42531,0.420689655,61
13542,0.417525773,162
35421,0.411270983,343
15432,0.41025641,96
53421,0.401416765,340
45321,0.397046047,457
24153,0.394736842,15
25431,0.384196185,141
43125,0.380841121,163
24513,0.376623377,29
45231,0.375,63
52413,0.375,24
32451,0.373333333,56
34251,0.373134328,25
23541,0.370666667,139
32415,0.369565217,17
42315,0.365079365,23
31542,0.3625,29
14523,0.361904762,38
13452,0.35989011,131
31452,0.355555556,32
25341,0.353233831,71
25413,0.351648352,32
15423,0.350877193,40
34512,0.34965035,50
32541,0.348920863,97
32514,0.344827586,10
24351,0.344370861,52
42135,0.343925234,184
41325,0.342342342,38
23451,0.341836735,67
23145,0.340350877,97
12543,0.339784946,158
13524,0.336633663,34
23514,0.333333333,13
42513,0.333333333,8
21534,0.325,26
35241,0.323529412,33
43251,0.322580645,20
21453,0.316666667,76
41235,0.314447592,111
41352,0.313253012,26
35412,0.31097561,102
31425,0.307692308,20
12534,0.307377049,75
51432,0.306666667,23
12453,0.300970874,155
24135,0.297297297,33
32145,0.294776119,158
54321,0.291896479,688
31524,0.291666667,7
52431,0.290456432,70
总计,0.28964269,34256
24315,0.287356322,25
41532,0.285714286,14
21543,0.279187817,55
53124,0.276923077,162
31245,0.275769746,206
34125,0.271186441,48
15324,0.270588235,23
14253,0.269503546,38
25143,0.269230769,7
52341,0.265560166,64
14352,0.262195122,86
51324,0.261904762,22
23415,0.260869565,24
52314,0.260869565,18
21345,0.260773481,236
45132,0.259259259,21
23154,0.256410256,30
13425,0.25,40
51234,0.24789916,59
21435,0.247863248,58
32154,0.247252747,45
41253,0.245901639,30
15342,0.243093923,44
12435,0.242761693,109
45312,0.242537313,195
43152,0.242424242,8
43215,0.237113402,46
25134,0.236842105,9
51423,0.233333333,14
12345,0.232074017,301
34215,0.227586207,33
12354,0.223247232,242
21354,0.221635884,168
53214,0.217777778,49
15243,0.217391304,15
35142,0.217391304,5
54312,0.21486387,292
13245,0.212068966,123
15234,0.209677419,13
45213,0.209125475,55
41523,0.2,5
14325,0.197183099,28
54123,0.194926569,146
51342,0.191919192,19
52134,0.191693291,60
45123,0.191082803,30
54213,0.189326557,149
42153,0.188405797,13
25314,0.1875,9
31254,0.186956522,86
14235,0.185185185,35
13254,0.179431072,82
54231,0.17593985,117
35124,0.173469388,17
53241,0.172413793,30
35214,0.159292035,18
51243,0.135416667,26
54132,0.123966942,45
53142,0.083333333,9
52143,0.066985646,14
